seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,1000,1000,setup.end,point,12923608780,40000000000,19304337268
2,1001,1001,timeStep,enter,12923608780,40000000000,19304337268
3,1001,1001,step-start,point,12923608780,40000000000,19304337268
4,1001,1001,momentumSolve,enter,15058503082,40000000000,19304337268
5,-1,1001,PDE.solveRhs.afterAssemble,point,15517782854,40000000000,20871397214
6,-1,1001,PDE.solveRhs.afterSavedRhs,point,15909791462,40000000000,20871397214
7,-1,1001,PDE.solveRhs.beforeSolve,point,15909791462,40000000000,20871397214
8,-1,1001,PDE.solveRhs.afterSolve,point,15909791462,40000000000,20871397214
9,1001,1001,momentumSolve,exit,15517782854,40000000000,20871397214
10,1001,1001,after-UEqn,point,15517782854,40000000000,20871397214
11,1001,1001,pEqn,enter,17547300278,40000000000,20871397214
12,-1,1001,PDE.solveImpl.beforeAssemble,point,18683392326,40000000000,20871397214
13,-1,1001,PDE.solveImpl.afterAssemble,point,19077337326,40000000000,20871397214
14,-1,1001,PDE.solveImpl.beforeSolve,point,19077337326,40000000000,20871397214
15,-1,1001,PDE.solveImpl.afterSolve,point,19077337326,40000000000,20871397214
16,1001,1001,pEqn,exit,19077337326,40000000000,20871397214
17,1001,1001,after-pEqn,point,17047819902,40000000000,20871397214
18,-1,1001,kOmegaSST.correct,enter,17047819902,40000000000,20871397214
19,-1,1001,kOmegaSST.afterGradients,point,18746523870,40000000000,21328153854
20,-1,1001,kOmegaSST.omegaEqn.before,point,18750396654,40000000000,21328153854
21,-1,1001,PDE.solveImpl.beforeAssemble,point,19886488702,40000000000,22030312782
22,-1,1001,PDE.solveImpl.afterAssemble,point,19886488702,40000000000,22030312782
23,-1,1001,PDE.solveImpl.beforeSolve,point,19886488702,40000000000,22030312782
24,-1,1001,PDE.solveImpl.afterSolve,point,19886488702,40000000000,22030312782
25,-1,1001,kOmegaSST.omegaEqn.after,point,19886488702,40000000000,22030312782
26,-1,0,kOmegaSST.boundRepair,enter,20411103238,40000000000,22030312782
27,-1,0,kOmegaSST.boundRepair,exit,20411103238,40000000000,22030312782
28,-1,1001,kOmegaSST.kEqn.before,point,18969865558,40000000000,22030312782
29,-1,1001,PDE.solveImpl.beforeAssemble,point,20105957606,40000000000,22249781686
30,-1,1001,PDE.solveImpl.afterAssemble,point,20105957606,40000000000,22249781686
31,-1,1001,PDE.solveImpl.beforeSolve,point,20105957606,40000000000,22249781686
32,-1,1001,PDE.solveImpl.afterSolve,point,20105957606,40000000000,22249781686
33,-1,1001,kOmegaSST.kEqn.after,point,20105957606,40000000000,22249781686
34,-1,0,kOmegaSST.boundRepair,enter,20630572142,40000000000,22249781686
35,-1,0,kOmegaSST.boundRepair,exit,20630572142,40000000000,22249781686
36,-1,1001,kOmegaSST.correct,exit,19320003998,40000000000,22249781686
37,1001,1001,after-turb,point,19320003998,40000000000,22249781686
38,1001,1001,timeStep,exit,19320003998,40000000000,22249781686
39,1002,1002,timeStep,enter,19320003998,40000000000,22249781686
40,1002,1002,step-start,point,19320003998,40000000000,22249781686
41,1002,1002,momentumSolve,enter,19320003998,40000000000,22249781686
42,-1,1002,PDE.solveRhs.afterAssemble,point,19320003998,40000000000,24673618358
43,-1,1002,PDE.solveRhs.afterSavedRhs,point,19712012606,40000000000,24673618358
44,-1,1002,PDE.solveRhs.beforeSolve,point,19712012606,40000000000,24673618358
45,-1,1002,PDE.solveRhs.afterSolve,point,19712012606,40000000000,24673618358
46,1002,1002,momentumSolve,exit,19320003998,40000000000,24673618358
47,1002,1002,after-UEqn,point,19320003998,40000000000,24673618358
48,1002,1002,pEqn,enter,21349521422,40000000000,24673618358
49,-1,1002,PDE.solveImpl.beforeAssemble,point,21349521422,40000000000,24673618358
50,-1,1002,PDE.solveImpl.afterAssemble,point,21349521422,40000000000,24673618358
51,-1,1002,PDE.solveImpl.beforeSolve,point,21349521422,40000000000,24673618358
52,-1,1002,PDE.solveImpl.afterSolve,point,21349521422,40000000000,24673618358
53,1002,1002,pEqn,exit,21349521422,40000000000,24673618358
54,1002,1002,after-pEqn,point,19320003998,40000000000,24673618358
55,-1,1002,kOmegaSST.correct,enter,19320003998,40000000000,24673618358
56,-1,1002,kOmegaSST.afterGradients,point,21018707966,40000000000,24673618358
57,-1,1002,kOmegaSST.omegaEqn.before,point,21022580750,40000000000,24673618358
58,-1,1002,PDE.solveImpl.beforeAssemble,point,21022580750,40000000000,24673618358
59,-1,1002,PDE.solveImpl.afterAssemble,point,21022580750,40000000000,24673618358
60,-1,1002,PDE.solveImpl.beforeSolve,point,21022580750,40000000000,24673618358
61,-1,1002,PDE.solveImpl.afterSolve,point,21022580750,40000000000,24673618358
62,-1,1002,kOmegaSST.omegaEqn.after,point,21022580750,40000000000,24673618358
63,-1,0,kOmegaSST.boundRepair,enter,21547195286,40000000000,24673618358
64,-1,0,kOmegaSST.boundRepair,exit,21547195286,40000000000,24673618358
65,-1,1002,kOmegaSST.kEqn.before,point,20105957606,40000000000,24673618358
66,-1,1002,PDE.solveImpl.beforeAssemble,point,20105957606,40000000000,24673618358
67,-1,1002,PDE.solveImpl.afterAssemble,point,20105957606,40000000000,24673618358
68,-1,1002,PDE.solveImpl.beforeSolve,point,20105957606,40000000000,24673618358
69,-1,1002,PDE.solveImpl.afterSolve,point,20105957606,40000000000,24673618358
70,-1,1002,kOmegaSST.kEqn.after,point,20105957606,40000000000,24673618358
71,-1,0,kOmegaSST.boundRepair,enter,20630572142,40000000000,24673618358
72,-1,0,kOmegaSST.boundRepair,exit,20630572142,40000000000,24673618358
73,-1,1002,kOmegaSST.correct,exit,19320003998,40000000000,24673618358
74,1002,1002,after-turb,point,19320003998,40000000000,24673618358
75,1002,1002,timeStep,exit,19320003998,40000000000,24673618358
76,1003,1003,timeStep,enter,19320003998,40000000000,24673618358
77,1003,1003,step-start,point,19320003998,40000000000,24673618358
78,1003,1003,momentumSolve,enter,19320003998,40000000000,24673618358
79,-1,1003,PDE.solveRhs.afterAssemble,point,19320003998,40000000000,24673618358
80,-1,1003,PDE.solveRhs.afterSavedRhs,point,19712012606,40000000000,24673618358
81,-1,1003,PDE.solveRhs.beforeSolve,point,19712012606,40000000000,24673618358
82,-1,1003,PDE.solveRhs.afterSolve,point,19712012606,40000000000,24673618358
83,1003,1003,momentumSolve,exit,19320003998,40000000000,24673618358
84,1003,1003,after-UEqn,point,19320003998,40000000000,24673618358
85,1003,1003,pEqn,enter,21349521422,40000000000,24673618358
86,-1,1003,PDE.solveImpl.beforeAssemble,point,21349521422,40000000000,24673618358
87,-1,1003,PDE.solveImpl.afterAssemble,point,21349521422,40000000000,24673618358
88,-1,1003,PDE.solveImpl.beforeSolve,point,21349521422,40000000000,24673618358
89,-1,1003,PDE.solveImpl.afterSolve,point,21349521422,40000000000,24673618358
90,1003,1003,pEqn,exit,21349521422,40000000000,24673618358
91,1003,1003,after-pEqn,point,19320003998,40000000000,24673618358
92,-1,1003,kOmegaSST.correct,enter,19320003998,40000000000,24673618358
93,-1,1003,kOmegaSST.afterGradients,point,21018707966,40000000000,24673618358
94,-1,1003,kOmegaSST.omegaEqn.before,point,21022580750,40000000000,24673618358
95,-1,1003,PDE.solveImpl.beforeAssemble,point,21022580750,40000000000,24673618358
96,-1,1003,PDE.solveImpl.afterAssemble,point,21022580750,40000000000,24673618358
97,-1,1003,PDE.solveImpl.beforeSolve,point,21022580750,40000000000,24673618358
98,-1,1003,PDE.solveImpl.afterSolve,point,21022580750,40000000000,24673618358
99,-1,1003,kOmegaSST.omegaEqn.after,point,21022580750,40000000000,24673618358
100,-1,0,kOmegaSST.boundRepair,enter,21547195286,40000000000,24673618358
101,-1,0,kOmegaSST.boundRepair,exit,21547195286,40000000000,24673618358
102,-1,1003,kOmegaSST.kEqn.before,point,20105957606,40000000000,24673618358
103,-1,1003,PDE.solveImpl.beforeAssemble,point,20105957606,40000000000,24673618358
104,-1,1003,PDE.solveImpl.afterAssemble,point,20105957606,40000000000,24673618358
105,-1,1003,PDE.solveImpl.beforeSolve,point,20105957606,40000000000,24673618358
106,-1,1003,PDE.solveImpl.afterSolve,point,20105957606,40000000000,24673618358
107,-1,1003,kOmegaSST.kEqn.after,point,20105957606,40000000000,24673618358
108,-1,0,kOmegaSST.boundRepair,enter,20630572142,40000000000,24673618358
109,-1,0,kOmegaSST.boundRepair,exit,20630572142,40000000000,24673618358
110,-1,1003,kOmegaSST.correct,exit,19320003998,40000000000,24673618358
111,1003,1003,after-turb,point,19320003998,40000000000,24673618358
112,1003,1003,timeStep,exit,19320003998,40000000000,24673618358
113,1004,1004,timeStep,enter,19320003998,40000000000,24673618358
114,1004,1004,step-start,point,19320003998,40000000000,24673618358
115,1004,1004,momentumSolve,enter,19320003998,40000000000,24673618358
116,-1,1004,PDE.solveRhs.afterAssemble,point,19320003998,40000000000,24673618358
117,-1,1004,PDE.solveRhs.afterSavedRhs,point,19712012606,40000000000,24673618358
118,-1,1004,PDE.solveRhs.beforeSolve,point,19712012606,40000000000,24673618358
119,-1,1004,PDE.solveRhs.afterSolve,point,19712012606,40000000000,24673618358
120,1004,1004,momentumSolve,exit,19320003998,40000000000,24673618358
121,1004,1004,after-UEqn,point,19320003998,40000000000,24673618358
122,1004,1004,pEqn,enter,21349521422,40000000000,24673618358
123,-1,1004,PDE.solveImpl.beforeAssemble,point,21349521422,40000000000,24673618358
124,-1,1004,PDE.solveImpl.afterAssemble,point,21349521422,40000000000,24673618358
125,-1,1004,PDE.solveImpl.beforeSolve,point,21349521422,40000000000,24673618358
126,-1,1004,PDE.solveImpl.afterSolve,point,21349521422,40000000000,24673618358
