file,allocated_type,site,context,mb,count
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,NeoFOAM::KOmegaSSTModel::KOmegaSSTModel,NeoFOAM::TurbulenceModel::create,2632,7
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,"NeoN::la::LinearSystem<double, double, NeoN::la::Matrix<double, NeoN::la::CsrSparsityPattern<int> >, NeoN::la::Matrix<double, NeoN::la::CooSparsityPattern<int> > >::LinearSystem","NeoFOAM::PDE<double, double, int>::PDE",2631,3
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<NeoN::Vec3>::Vector,NeoN::finiteVolume::cellCentred::GeometryScheme::update,NeoN::finiteVolume::cellCentred::GeometryScheme::GeometryScheme,2256,2
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<NeoN::Vec3>::Vector,NeoFOAM::createAdapterRunTime,,1169,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<NeoN::Vec3>::Vector,NeoN::finiteVolume::cellCentred::GeometryScheme::GeometryScheme,NeoN::finiteVolume::cellCentred::GeometryScheme::readOrCreate,1128,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<NeoN::Tensor>::Vector,NeoFOAM::KOmegaSSTModel::KOmegaSSTModel,NeoFOAM::TurbulenceModel::create,1121,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,"NeoN::la::LinearSystem<double, NeoN::Vec3, NeoN::la::Matrix<double, NeoN::la::CsrSparsityPattern<int> >, NeoN::la::Matrix<double, NeoN::la::CooSparsityPattern<int> > >::LinearSystem","NeoFOAM::PDE<NeoN::Vec3, double, int>::PDE",877,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,NeoN::finiteVolume::cellCentred::GeometryScheme::GeometryScheme,NeoN::finiteVolume::cellCentred::GeometryScheme::readOrCreate,752,2
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<int>::Vector,"NeoN::la::SharedSparsityBundle<NeoN::la::CsrSparsityPattern<int>, NeoN::la::CooSparsityPattern<int> > NeoN::la::readOrCreateSparsityBundle<NeoN::la::CsrSparsityPattern<int>, NeoN::la::CooSparsityPattern<int> >","NeoFOAM::PDE<NeoN::Vec3, double, int>::PDE",438,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,NeoFOAM::createAdapterRunTime,,389,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,NeoN::Vector<double>::Vector,,376,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,"void NeoN::finiteVolume::cellCentred::computeLaplacianNonOrthCorrImpl<double, double>","NeoN::finiteVolume::cellCentred::GaussGreenLaplacian<double, double>::laplacian",376,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,NeoFOAM::flux,,376,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<double>::Vector,NeoN::finiteVolume::cellCentred::SurfaceField<double>::SurfaceField,NeoN::finiteVolume::cellCentred::VectorCollection::insert[abi:cxx11],376,1
pMG-localized-best-cache-rebuild100-20260707-144024.allocRecords.txt,NeoN::Vector<int>::Vector,"NeoN::SegmentedVector<int, int>::SegmentedVector",NeoN::finiteVolume::cellCentred::CellToFaceStencil::computeInternalStencil,376,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,NeoFOAM::KOmegaSSTModel::KOmegaSSTModel,NeoFOAM::TurbulenceModel::create,2632,7
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,"NeoN::la::LinearSystem<double, double, NeoN::la::Matrix<double, NeoN::la::CsrSparsityPattern<int> >, NeoN::la::Matrix<double, NeoN::la::CooSparsityPattern<int> > >::LinearSystem","NeoFOAM::PDE<double, double, int>::PDE",2631,3
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<NeoN::Vec3>::Vector,NeoN::finiteVolume::cellCentred::GeometryScheme::update,NeoN::finiteVolume::cellCentred::GeometryScheme::GeometryScheme,2256,2
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<NeoN::Vec3>::Vector,NeoFOAM::createAdapterRunTime,,1169,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<NeoN::Vec3>::Vector,NeoN::finiteVolume::cellCentred::GeometryScheme::GeometryScheme,NeoN::finiteVolume::cellCentred::GeometryScheme::readOrCreate,1128,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<NeoN::Tensor>::Vector,NeoFOAM::KOmegaSSTModel::KOmegaSSTModel,NeoFOAM::TurbulenceModel::create,1121,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,"NeoN::la::LinearSystem<double, NeoN::Vec3, NeoN::la::Matrix<double, NeoN::la::CsrSparsityPattern<int> >, NeoN::la::Matrix<double, NeoN::la::CooSparsityPattern<int> > >::LinearSystem","NeoFOAM::PDE<NeoN::Vec3, double, int>::PDE",877,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,NeoN::finiteVolume::cellCentred::GeometryScheme::GeometryScheme,NeoN::finiteVolume::cellCentred::GeometryScheme::readOrCreate,752,2
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<int>::Vector,"NeoN::la::SharedSparsityBundle<NeoN::la::CsrSparsityPattern<int>, NeoN::la::CooSparsityPattern<int> > NeoN::la::readOrCreateSparsityBundle<NeoN::la::CsrSparsityPattern<int>, NeoN::la::CooSparsityPattern<int> >","NeoFOAM::PDE<NeoN::Vec3, double, int>::PDE",438,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,NeoFOAM::createAdapterRunTime,,389,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,NeoN::Vector<double>::Vector,,376,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,"void NeoN::finiteVolume::cellCentred::computeLaplacianNonOrthCorrImpl<double, double>","NeoN::finiteVolume::cellCentred::GaussGreenLaplacian<double, double>::laplacian",376,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,NeoFOAM::flux,,376,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<double>::Vector,NeoN::finiteVolume::cellCentred::SurfaceField<double>::SurfaceField,NeoN::finiteVolume::cellCentred::VectorCollection::insert[abi:cxx11],376,1
pMG-localized-precfloat-best-cache-rebuild100-20260707-144250.allocRecords.txt,NeoN::Vector<int>::Vector,"NeoN::SegmentedVector<int, int>::SegmentedVector",NeoN::finiteVolume::cellCentred::CellToFaceStencil::computeInternalStencil,376,1
pPCG-diagonal-best-20260707-144518.allocRecords.txt,NeoN::Vector<double>::Vector,NeoFOAM::KOmegaSSTModel::KOmegaSSTModel,NeoFOAM::TurbulenceModel::create,2632,7
pPCG-diagonal-best-20260707-144518.allocRecords.txt,NeoN::Vector<double>::Vector,"NeoN::la::LinearSystem<double, double, NeoN::la::Matrix<double, NeoN::la::CsrSparsityPattern<int> >, NeoN::la::Matrix<double, NeoN::la::CooSparsityPattern<int> > >::LinearSystem","NeoFOAM::PDE<double, double, int>::PDE",2631,3
