event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x4ade570,A1,14035168
1,0.748378,0x4ade570,A1,28070336
2,1.342985,0x4ade570,A1,70175840
3,2.762525,0x4ade570,A1,112281344
4,4.206299,0x4ade570,A1,126316512
5,4.699267,0x4ade570,A1,168422016
6,6.021794,0x4ade570,A1,210527520
7,7.336981,0x4ade570,A1,252633024
8,8.608558,0x4ade570,A1,259650608
9,9.150533,0x3fbed40,A0,14100464
10,9.745220,0x3fbed40,A0,28200928
11,9.908885,0x4ade570,A1,266668192
12,9.965453,0x4ade570,A1,308773696
13,10.004436,0x4ade570,A1,350879200
14,10.041637,0x4ade570,A1,392984704
15,10.082523,0x4ade570,A1,407019872
16,10.104794,0x4ade570,A1,449125376
17,10.143057,0x4ade570,A1,491230880
18,10.180608,0x4ade570,A1,505266048
19,10.189611,0x3fbed40,A0,70502320
20,10.202358,0x4ade570,A1,519301216
21,10.249002,0x4ade570,A1,519301216
22,11.411359,0x3fbed40,A0,112803712
23,12.093176,0x4040570,A2,11422632
24,12.682806,0x4040570,A2,22845264
25,12.757679,0x3fbed40,A0,126904176
26,13.173140,0x4040570,A2,57113160
27,13.364343,0x3fbed40,A0,169205568
28,14.500955,0x4040570,A2,91381056
29,14.634128,0x4ade570,A1,519632776
30,14.690445,0x4ade570,A1,519964336
31,14.827533,0x4ade570,A1,519632776
32,14.880066,0x4ade570,A1,512615192
33,14.885002,0x4ade570,A1,470509688
34,14.887546,0x4ade570,A1,428404184
35,14.889078,0x4ade570,A1,386298680
36,14.891251,0x4ade570,A1,372263512
37,14.892132,0x4ade570,A1,330158008
38,14.892703,0x4ade570,A1,288052504
39,14.893494,0x4ade570,A1,274017336
40,14.894816,0x4ade570,A1,259982168
41,14.906682,0x4ade570,A1,266999752
42,14.933319,0x4ade570,A1,309105256
43,14.947759,0x3fbed40,A0,211506960
44,14.970230,0x4ade570,A1,351210760
45,15.008702,0x4ade570,A1,393316264
46,15.045593,0x4ade570,A1,407351432
47,15.069095,0x4ade570,A1,449456936
48,15.107418,0x4ade570,A1,491562440
49,15.142927,0x4ade570,A1,505597608
50,15.198693,0x4ade570,A1,519632776
51,15.220503,0x4ade570,A1,519964336
52,15.252267,0x4ade570,A1,717298284
53,15.400381,0x371c2c0,A3,10897976
54,16.076369,0x4040570,A2,102803688
55,16.610754,0x371c2c0,A3,21795952
56,16.851665,0x4040570,A2,137071584
57,17.314100,0x3fbed40,A0,253808352
58,17.367634,0x371c2c0,A3,54489880
59,19.148761,0x4040570,A2,171339480
60,19.546227,0x371c2c0,A3,87183808
61,20.132393,0x3fbed40,A0,260858584
62,20.707673,0x3fbed40,A0,267908816
63,20.925102,0x3fbed40,A0,310210208
64,20.965688,0x3fbed40,A0,352511600
65,21.002719,0x3fbed40,A0,394812992
66,21.048982,0x3fbed40,A0,408913456
67,21.073496,0x3fbed40,A0,451214848
68,21.109926,0x3fbed40,A0,493516240
69,21.147718,0x3fbed40,A0,507616704
70,21.171040,0x3fbed40,A0,521717168
71,21.215110,0x3fbed40,A0,521717168
72,21.352730,0x4040570,A2,205607376
73,21.575896,0x371c2c0,A3,98081784
74,22.165747,0x371c2c0,A3,130775712
75,23.258398,0x4040570,A2,211318692
76,23.604964,0x4040570,A2,217030008
77,23.661532,0x4040570,A2,251297904
78,23.694968,0x4040570,A2,285565800
79,23.727933,0x4040570,A2,319833696
80,23.768759,0x4040570,A2,331256328
81,23.790069,0x4040570,A2,365524224
82,23.825678,0x4040570,A2,399792120
83,23.859454,0x4040570,A2,411214752
84,23.862308,0x371c2c0,A3,163469640
85,23.879752,0x4040570,A2,422637384
86,23.924784,0x4040570,A2,422637384
87,25.193387,0x371c2c0,A3,196163568
88,25.845042,0x3fbed40,A0,522057740
89,25.870828,0x4ade570,A1,921649816
90,25.898946,0x3fbed40,A0,522398312
91,26.023648,0x3fbed40,A0,522057740
92,26.079104,0x3fbed40,A0,515007508
93,26.083410,0x3fbed40,A0,472706116
94,26.085803,0x3fbed40,A0,430404724
95,26.087195,0x3fbed40,A0,388103332
96,26.090970,0x3fbed40,A0,374002868
97,26.092092,0x3fbed40,A0,331701476
98,26.092893,0x3fbed40,A0,289400084
99,26.093754,0x3fbed40,A0,275299620
100,26.094826,0x3fbed40,A0,261199156
101,26.106672,0x3fbed40,A0,268249388
102,26.136853,0x3fbed40,A0,310550780
103,26.175176,0x3fbed40,A0,352852172
104,26.211035,0x3fbed40,A0,395153564
105,26.251981,0x3fbed40,A0,409254028
106,26.275364,0x3fbed40,A0,451555420
107,26.310502,0x3fbed40,A0,493856812
108,26.349035,0x3fbed40,A0,507957276
109,26.412011,0x3fbed40,A0,522057740
110,26.435854,0x3fbed40,A0,522398312
111,26.467237,0x3fbed40,A0,719681840
112,27.258745,0x371c2c0,A3,201612556
113,27.596980,0x371c2c0,A3,207061544
114,27.804304,0x371c2c0,A3,239755472
115,27.837610,0x371c2c0,A3,272449400
116,27.871216,0x371c2c0,A3,305143328
117,27.910801,0x371c2c0,A3,316041304
118,27.932611,0x371c2c0,A3,348735232
119,27.964975,0x371c2c0,A3,381429160
120,27.997560,0x371c2c0,A3,392327136
121,28.019350,0x371c2c0,A3,403225112
122,28.071602,0x371c2c0,A3,403225112
123,28.098028,0x4040570,A2,423075328
124,28.155948,0x4040570,A2,423513272
125,28.264887,0x4040570,A2,423075328
126,28.317079,0x4040570,A2,417364012
127,28.321555,0x4040570,A2,383096116
128,28.323618,0x4040570,A2,348828220
129,28.325461,0x4040570,A2,314560324
130,28.328575,0x4040570,A2,303137692
131,28.329817,0x4040570,A2,268869796
132,28.330668,0x4040570,A2,234601900
133,28.331569,0x4040570,A2,223179268
134,28.332580,0x4040570,A2,211756636
135,28.344176,0x4040570,A2,217467952
136,28.367789,0x4040570,A2,251735848
137,28.400404,0x4040570,A2,286003744
138,28.432357,0x4040570,A2,320271640
139,28.468006,0x4040570,A2,331694272
140,28.489836,0x4040570,A2,365962168
141,28.521570,0x4040570,A2,400230064
142,28.554545,0x4040570,A2,411652696
143,28.637790,0x4040570,A2,423075328
144,28.659810,0x4040570,A2,423513272
145,28.693466,0x4040570,A2,620559440
