event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x3ee9630,A0,14035168
1,0.689387,0x3ee9630,A0,28070336
2,1.203524,0x3ee9630,A0,70175840
3,2.590379,0x3ee9630,A0,112281344
4,4.007196,0x3ee9630,A0,126316512
5,4.488538,0x3ee9630,A0,168422016
6,5.896743,0x3ee9630,A0,210527520
7,7.301623,0x3ee9630,A0,252633024
8,8.718851,0x3ee9630,A0,259650608
9,8.990194,0x3ee9630,A0,266668192
10,9.047953,0x3ee9630,A0,308773696
11,9.088188,0x3ee9630,A0,350879200
12,9.128394,0x3ee9630,A0,392984704
13,9.172504,0x3ee9630,A0,407019872
14,9.200192,0x3ee9630,A0,449125376
15,9.239206,0x3ee9630,A0,491230880
16,9.278530,0x3ee9630,A0,505266048
17,9.301902,0x3ee9630,A0,519301216
18,9.350779,0x3ee9630,A0,519301216
19,14.868622,0x3ee9630,A0,519632776
20,14.914174,0x3ee9630,A0,519964336
21,15.022313,0x3ee9630,A0,519632776
22,15.064811,0x3ee9630,A0,512615192
23,15.068286,0x3ee9630,A0,470509688
24,15.069938,0x3ee9630,A0,428404184
25,15.070890,0x3ee9630,A0,386298680
26,15.073723,0x3ee9630,A0,372263512
27,15.074605,0x3ee9630,A0,330158008
28,15.075296,0x3ee9630,A0,288052504
29,15.076467,0x3ee9630,A0,274017336
30,15.077469,0x3ee9630,A0,259982168
31,15.088504,0x3ee9630,A0,266999752
32,15.115981,0x3ee9630,A0,309105256
33,15.155606,0x3ee9630,A0,351210760
34,15.192907,0x3ee9630,A0,393316264
35,15.231691,0x3ee9630,A0,407351432
36,15.257566,0x3ee9630,A0,449456936
37,15.294607,0x3ee9630,A0,491562440
38,17.421790,0x36e9650,A1,11422632
39,18.100232,0x36e9650,A1,22845264
40,18.589665,0x36e9650,A1,57113160
41,20.342514,0x36e9650,A1,91381056
42,21.904880,0x36e9650,A1,102803688
43,22.399620,0x36e9650,A1,137071584
44,23.929633,0x36e9650,A1,171339480
45,25.509524,0x36e9650,A1,205607376
46,27.175223,0x36e9650,A1,211318692
47,27.504716,0x36e9650,A1,217030008
48,27.564888,0x36e9650,A1,251297904
49,27.601499,0x36e9650,A1,285565800
50,27.636457,0x36e9650,A1,319833696
51,27.676552,0x36e9650,A1,331256328
52,27.703348,0x36e9650,A1,365524224
53,27.736434,0x36e9650,A1,399792120
54,27.771792,0x36e9650,A1,411214752
55,27.793703,0x36e9650,A1,422637384
56,27.839846,0x36e9650,A1,422637384
57,33.065747,0x36e9650,A1,423075328
58,33.119922,0x36e9650,A1,423513272
59,33.236692,0x36e9650,A1,423075328
60,33.281944,0x36e9650,A1,417364012
61,33.284918,0x36e9650,A1,383096116
62,33.286400,0x36e9650,A1,348828220
63,33.287772,0x36e9650,A1,314560324
64,33.290346,0x36e9650,A1,303137692
65,33.291417,0x36e9650,A1,268869796
66,33.292268,0x36e9650,A1,234601900
67,33.293270,0x36e9650,A1,223179268
68,33.294371,0x36e9650,A1,211756636
69,33.306097,0x36e9650,A1,217467952
70,33.333605,0x36e9650,A1,251735848
71,33.367652,0x36e9650,A1,286003744
72,33.401248,0x36e9650,A1,320271640
73,33.436336,0x36e9650,A1,331694272
74,33.460750,0x36e9650,A1,365962168
75,33.493465,0x36e9650,A1,400230064
