event,t_ms,allocator_ref,allocator,live_bytes
0,0.000000,0x30f0690,A1,14035168
1,0.658975,0x30f0690,A1,28070336
2,1.187511,0x30f0690,A1,70175840
3,2.716322,0x30f0690,A1,112281344
4,4.195774,0x30f0690,A1,126316512
5,4.669866,0x30f0690,A1,168422016
6,6.089616,0x30f0690,A1,210527520
7,7.629502,0x30f0690,A1,252633024
8,9.216733,0x30f0690,A1,259650608
9,9.516054,0x30f0690,A1,266668192
10,9.578830,0x30f0690,A1,308773696
11,9.615240,0x30f0690,A1,350879200
12,9.650519,0x30f0690,A1,392984704
13,9.691415,0x30f0690,A1,407019872
14,9.714026,0x30f0690,A1,449125376
15,9.747021,0x30f0690,A1,491230880
16,9.781839,0x30f0690,A1,505266048
17,9.802287,0x30f0690,A1,519301216
18,9.855611,0x30f0690,A1,519301216
19,11.304301,0x3a55140,A0,14100464
20,11.902533,0x3a55140,A0,28200928
21,12.376544,0x3a55140,A0,70502320
22,13.039215,0x3f1f3f0,A2,11422632
23,13.646139,0x3f1f3f0,A2,22845264
24,13.910001,0x3a55140,A0,112803712
25,14.141489,0x3f1f3f0,A2,57113160
26,14.332732,0x30f0690,A1,519632776
27,14.397911,0x30f0690,A1,519964336
28,14.548028,0x30f0690,A1,519632776
29,14.620067,0x30f0690,A1,512615192
30,14.625464,0x30f0690,A1,470509688
31,14.626856,0x30f0690,A1,428404184
32,14.628468,0x30f0690,A1,386298680
33,14.630972,0x30f0690,A1,372263512
34,14.631612,0x30f0690,A1,330158008
35,14.632113,0x30f0690,A1,288052504
36,14.632664,0x30f0690,A1,274017336
37,14.633355,0x30f0690,A1,259982168
38,14.641025,0x30f0690,A1,266999752
39,14.667031,0x30f0690,A1,309105256
40,14.703161,0x30f0690,A1,351210760
41,14.737648,0x30f0690,A1,393316264
42,14.773437,0x30f0690,A1,407351432
43,14.795448,0x30f0690,A1,449456936
44,14.828203,0x30f0690,A1,491562440
45,14.861769,0x30f0690,A1,505597608
46,14.917996,0x30f0690,A1,519632776
47,14.938093,0x30f0690,A1,519964336
48,14.963939,0x30f0690,A1,717298284
49,15.994044,0x3f1f3f0,A2,91381056
50,16.112067,0x3a55140,A0,126904176
51,17.014246,0x3a55140,A0,169205568
52,17.840792,0x2e27400,A3,10897976
53,18.005378,0x3f1f3f0,A2,102803688
54,18.708013,0x2e27400,A3,21795952
55,18.791267,0x3f1f3f0,A2,137071584
56,19.469690,0x2e27400,A3,54489880
57,19.748242,0x3a55140,A0,211506960
58,21.132955,0x3f1f3f0,A2,171339480
59,21.750053,0x2e27400,A3,87183808
60,22.882689,0x3a55140,A0,253808352
61,23.673626,0x3f1f3f0,A2,205607376
62,24.168506,0x2e27400,A3,98081784
63,24.909984,0x2e27400,A3,130775712
64,25.750709,0x3a55140,A0,260858584
65,25.951465,0x3f1f3f0,A2,211318692
66,26.284673,0x3a55140,A0,267908816
67,26.346528,0x3f1f3f0,A2,217030008
68,26.347639,0x3a55140,A0,310210208
69,26.384420,0x3a55140,A0,352511600
70,26.386943,0x3f1f3f0,A2,251297904
71,26.419678,0x3f1f3f0,A2,285565800
72,26.421871,0x3a55140,A0,394812992
73,26.450701,0x3f1f3f0,A2,319833696
74,26.465191,0x3a55140,A0,408913456
75,26.484918,0x3f1f3f0,A2,331256328
76,26.486991,0x3a55140,A0,451214848
77,26.504345,0x3f1f3f0,A2,365524224
78,26.521889,0x3a55140,A0,493516240
79,26.534696,0x3f1f3f0,A2,399792120
80,26.558609,0x3a55140,A0,507616704
81,26.563686,0x3f1f3f0,A2,411214752
82,26.579668,0x3a55140,A0,521717168
83,26.582412,0x3f1f3f0,A2,422637384
84,26.630268,0x3a55140,A0,521717168
85,26.630788,0x3f1f3f0,A2,422637384
86,26.732939,0x2e27400,A3,163469640
87,27.430958,0x30f0690,A1,921649816
88,27.980022,0x2e27400,A3,196163568
89,29.304682,0x2e27400,A3,201612556
90,29.546965,0x2e27400,A3,207061544
91,29.750024,0x2e27400,A3,239755472
92,29.781297,0x2e27400,A3,272449400
93,29.812029,0x2e27400,A3,305143328
94,29.850122,0x2e27400,A3,316041304
95,29.869348,0x2e27400,A3,348735232
96,29.900801,0x2e27400,A3,381429160
97,29.931063,0x2e27400,A3,392327136
98,29.949488,0x2e27400,A3,403225112
99,30.001159,0x2e27400,A3,403225112
100,30.934051,0x3f1f3f0,A2,423075328
101,30.987114,0x3f1f3f0,A2,423513272
102,31.102582,0x3f1f3f0,A2,423075328
103,31.163796,0x3f1f3f0,A2,417364012
104,31.168473,0x3f1f3f0,A2,383096116
105,31.170225,0x3f1f3f0,A2,348828220
106,31.171878,0x3f1f3f0,A2,314560324
107,31.174782,0x3f1f3f0,A2,303137692
108,31.175563,0x3f1f3f0,A2,268869796
109,31.176083,0x3f1f3f0,A2,234601900
110,31.176664,0x3f1f3f0,A2,223179268
111,31.177645,0x3f1f3f0,A2,211756636
112,31.184225,0x3f1f3f0,A2,217467952
113,31.207777,0x3f1f3f0,A2,251735848
114,31.238539,0x3f1f3f0,A2,286003744
115,31.265126,0x3a55140,A0,522057740
116,31.269061,0x3f1f3f0,A2,320271640
117,31.301516,0x3f1f3f0,A2,331694272
118,31.310168,0x3a55140,A0,522398312
119,31.320602,0x3f1f3f0,A2,365962168
120,31.349401,0x3f1f3f0,A2,400230064
121,31.378682,0x3f1f3f0,A2,411652696
122,31.453224,0x3f1f3f0,A2,423075328
123,31.472230,0x3f1f3f0,A2,423513272
124,31.499508,0x3f1f3f0,A2,620559440
125,31.555715,0x3a55140,A0,522057740
126,31.617790,0x3a55140,A0,515007508
127,31.622517,0x3a55140,A0,472706116
128,31.624319,0x3a55140,A0,430404724
129,31.625861,0x3a55140,A0,388103332
130,31.628565,0x3a55140,A0,374002868
131,31.629396,0x3a55140,A0,331701476
132,31.629917,0x3a55140,A0,289400084
133,31.630388,0x3a55140,A0,275299620
134,31.631038,0x3a55140,A0,261199156
135,31.637648,0x3a55140,A0,268249388
136,31.661701,0x3a55140,A0,310550780
137,31.696438,0x3a55140,A0,352852172
138,31.735672,0x3a55140,A0,395153564
139,31.770851,0x3a55140,A0,409254028
140,31.791329,0x3a55140,A0,451555420
141,31.823934,0x3a55140,A0,493856812
142,31.857690,0x3a55140,A0,507957276
143,31.907969,0x3a55140,A0,522057740
144,31.930880,0x3a55140,A0,522398312
145,31.952811,0x3a55140,A0,719681840
146,34.290552,0x2e27400,A3,403668620
147,34.362762,0x2e27400,A3,404112128
148,34.599627,0x2e27400,A3,403668620
149,34.662634,0x2e27400,A3,398219632
150,34.667080,0x2e27400,A3,365525704
151,34.668912,0x2e27400,A3,332831776
152,34.670204,0x2e27400,A3,300137848
153,34.673178,0x2e27400,A3,289239872
154,34.673889,0x2e27400,A3,256545944
155,34.674580,0x2e27400,A3,223852016
156,34.675151,0x2e27400,A3,212954040
157,34.675872,0x2e27400,A3,202056064
158,34.682741,0x2e27400,A3,207505052
159,34.712152,0x2e27400,A3,240198980
160,34.743635,0x2e27400,A3,272892908
161,34.774017,0x2e27400,A3,305586836
162,34.808013,0x2e27400,A3,316484812
163,34.830955,0x2e27400,A3,349178740
164,34.860966,0x2e27400,A3,381872668
165,34.890186,0x2e27400,A3,392770644
166,34.937902,0x2e27400,A3,403668620
167,34.956467,0x2e27400,A3,404112128
168,34.990013,0x2e27400,A3,601084628
169,36.467934,0x30f0690,A1,1330352880
170,44.248083,0x3f1f3f0,A2,823316924
171,44.984645,0x3a55140,A0,924015600
172,48.464807,0x2e27400,A3,803506116
173,58.217476,0x3f1f3f0,A2,1228831892
174,59.247281,0x3a55140,A0,1332683120
175,62.940415,0x2e27400,A3,1208349092
176,65.159114,0x30f0690,A1,2556462072
177,86.299429,0x3f1f3f0,A2,2445376796
178,88.207511,0x3a55140,A0,2558685680
179,90.867205,0x2e27400,A3,2422878020
180,150.131600,0x30f0690,A1,3782571264
181,169.486632,0x3f1f3f0,A2,3661921700
182,173.068684,0x3a55140,A0,3784688240
183,174.337667,0x2e27400,A3,3637406948
184,236.237623,0x30f0690,A1,4174579848
185,253.025759,0x3f1f3f0,A2,4053930284
186,258.069188,0x2e27400,A3,4029415556
187,258.607338,0x3a55140,A0,4176696824
188,263.579379,0x30f0690,A1,4305249376
189,279.375482,0x3f1f3f0,A2,4184599812
190,283.851191,0x2e27400,A3,4160085092
191,284.660823,0x3a55140,A0,4307366352
192,385.515500,0x30f0690,A1,4435918904
193,385.636106,0x30f0690,A1,4827927488
194,385.847406,0x30f0690,A1,6054036680
195,386.468700,0x30f0690,A1,7280145872
196,387.102911,0x30f0690,A1,7688848936
197,387.319048,0x30f0690,A1,7893200468
198,387.435548,0x30f0690,A1,8090534416
199,387.553040,0x30f0690,A1,8097552000
200,387.569532,0x30f0690,A1,8139657504
201,387.602978,0x30f0690,A1,8181763008
202,387.635834,0x30f0690,A1,8223868512
203,387.671923,0x30f0690,A1,8237903680
204,387.691250,0x30f0690,A1,8280009184
205,387.724906,0x30f0690,A1,8322114688
206,387.759834,0x30f0690,A1,8336149856
207,387.779501,0x30f0690,A1,8350185024
208,387.800860,0x30f0690,A1,8350516584
209,395.303699,0x3f1f3f0,A2,4315269340
210,395.403816,0x3f1f3f0,A2,4707277924
211,395.613434,0x3f1f3f0,A2,5923822828
212,396.224374,0x3f1f3f0,A2,7140367732
213,396.840670,0x3f1f3f0,A2,7545882700
214,397.053753,0x3f1f3f0,A2,7748640184
215,397.169722,0x3f1f3f0,A2,7945686352
216,397.284560,0x3f1f3f0,A2,7951397668
217,397.300612,0x3f1f3f0,A2,7985665564
218,397.329692,0x3f1f3f0,A2,8019933460
219,397.358321,0x3f1f3f0,A2,8054201356
220,397.387732,0x3f1f3f0,A2,8065623988
221,397.405917,0x3f1f3f0,A2,8099891884
222,397.434586,0x3f1f3f0,A2,8134159780
223,397.464928,0x3f1f3f0,A2,8145582412
224,397.482622,0x3f1f3f0,A2,8157005044
225,397.501408,0x3f1f3f0,A2,8157442988
226,397.672072,0x2e27400,A3,4290754628
227,397.764890,0x2e27400,A3,4682763236
228,397.975850,0x2e27400,A3,5897292164
229,398.587500,0x2e27400,A3,7111821092
230,399.210466,0x2e27400,A3,7516664068
231,399.423409,0x2e27400,A3,7719085556
232,399.538727,0x2e27400,A3,7916058056
233,399.650881,0x2e27400,A3,7921507044
234,399.666373,0x2e27400,A3,7954200972
235,399.694291,0x2e27400,A3,7986894900
236,399.722600,0x2e27400,A3,8019588828
237,399.752551,0x2e27400,A3,8030486804
238,399.770476,0x2e27400,A3,8063180732
239,399.799175,0x2e27400,A3,8095874660
240,399.827824,0x2e27400,A3,8106772636
241,399.847762,0x2e27400,A3,8117670612
242,399.865867,0x2e27400,A3,8118114120
243,400.101390,0x3a55140,A0,4438035880
244,400.351003,0x3a55140,A0,4830044464
245,400.561963,0x3a55140,A0,6056047024
246,401.184028,0x3a55140,A0,7282049584
247,401.809948,0x3a55140,A0,7690717104
248,402.025694,0x3a55140,A0,7895050864
249,402.143286,0x3a55140,A0,8092334392
250,402.255870,0x3a55140,A0,8099384624
251,402.271702,0x3a55140,A0,8141686016
252,402.304377,0x3a55140,A0,8183987408
253,402.337512,0x3a55140,A0,8226288800
254,402.373041,0x3a55140,A0,8240389264
255,402.392037,0x3a55140,A0,8282690656
256,402.424242,0x3a55140,A0,8324992048
257,402.459090,0x3a55140,A0,8339092512
