seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,0,0,setup.end,point,17401220232,40000000000,20049931424
2,1,1,timeStep,enter,17401220232,40000000000,20049931424
3,1,1,step-start,point,17401220232,40000000000,20049931424
4,1,1,momentumSolve,enter,19555739965,40000000000,22293375357
5,-1,1,PDE.solveRhs.afterAssemble,point,20015742629,40000000000,25557820101
6,-1,1,PDE.solveRhs.afterSavedRhs,point,20407751213,40000000000,25557820101
7,-1,1,PDE.solveRhs.beforeSolve,point,20407751213,40000000000,25557820101
8,-1,1,PDE.solveRhs.afterSolve,point,20407751213,40000000000,25557820101
9,1,1,momentumSolve,exit,20015742629,40000000000,25557820101
10,1,1,after-UEqn,point,20015742629,40000000000,25557820101
11,1,1,pEqn,enter,22140821525,40000000000,25557820101
12,-1,1,PDE.solveImpl.beforeAssemble,point,23286225777,40000000000,25557820101
13,-1,1,PDE.solveImpl.afterAssemble,point,23680893673,40000000000,25557820101
14,-1,1,PDE.solveImpl.beforeSolve,point,23680893673,40000000000,25557820101
15,-1,1,PDE.solveImpl.afterSolve,point,23680893673,40000000000,25557820101
16,1,1,pEqn,exit,23680893673,40000000000,25557820101
17,1,1,after-pEqn,point,21555814777,40000000000,25557820101
18,-1,1,kOmegaSST.correct,enter,21555814777,40000000000,25557820101
19,-1,1,kOmegaSST.afterGradients,point,21555814777,40000000000,25557820101
20,-1,1,kOmegaSST.omegaEqn.before,point,21555814777,40000000000,25557820101
21,-1,1,PDE.solveImpl.beforeAssemble,point,22701219029,40000000000,25557820101
22,-1,1,PDE.solveImpl.afterAssemble,point,22701219029,40000000000,25557820101
23,-1,1,PDE.solveImpl.beforeSolve,point,22701219029,40000000000,25557820101
24,-1,1,PDE.solveImpl.afterSolve,point,22701219029,40000000000,25557820101
25,-1,1,kOmegaSST.omegaEqn.after,point,22701219029,40000000000,25557820101
26,-1,0,kOmegaSST.boundRepair,enter,22701219029,40000000000,25557820101
27,-1,0,kOmegaSST.boundRepair,exit,22701219029,40000000000,25557820101
28,-1,1,kOmegaSST.kEqn.before,point,22701219029,40000000000,25557820101
29,-1,1,PDE.solveImpl.beforeAssemble,point,23846623281,40000000000,26005439889
30,-1,1,PDE.solveImpl.afterAssemble,point,23846623281,40000000000,26005439889
31,-1,1,PDE.solveImpl.beforeSolve,point,23846623281,40000000000,26005439889
32,-1,1,PDE.solveImpl.afterSolve,point,23846623281,40000000000,26005439889
33,-1,1,kOmegaSST.kEqn.after,point,23846623281,40000000000,26005439889
34,-1,1,kOmegaSST.correct,exit,23846623281,40000000000,26005439889
35,1,1,after-turb,point,23846623281,40000000000,26005439889
36,1,1,timeStep,exit,23846623281,40000000000,26005439889
37,2,2,timeStep,enter,23846623281,40000000000,26005439889
38,2,2,step-start,point,23846623281,40000000000,26005439889
