seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,0,0,setup.end,point,13598507360,40000000000,20049931424
2,1,1,timeStep,enter,13598507360,40000000000,20049931424
3,1,1,step-start,point,13598507360,40000000000,20049931424
4,1,1,momentumSolve,enter,15753027093,40000000000,20049931424
5,-1,1,PDE.solveRhs.afterAssemble,point,16213029757,40000000000,21755107229
6,-1,1,PDE.solveRhs.afterSavedRhs,point,16605038341,40000000000,21755107229
7,-1,1,PDE.solveRhs.beforeSolve,point,16605038341,40000000000,21755107229
8,-1,1,PDE.solveRhs.afterSolve,point,16605038341,40000000000,21755107229
9,1,1,momentumSolve,exit,16213029757,40000000000,21755107229
10,1,1,after-UEqn,point,16213029757,40000000000,21755107229
11,1,1,pEqn,enter,18338108653,40000000000,21755107229
12,-1,1,PDE.solveImpl.beforeAssemble,point,19483512905,40000000000,21755107229
13,-1,1,PDE.solveImpl.afterAssemble,point,19878180801,40000000000,21755107229
14,-1,1,PDE.solveImpl.beforeSolve,point,19878180801,40000000000,21755107229
15,-1,1,PDE.solveImpl.afterSolve,point,19878180801,40000000000,21755107229
16,1,1,pEqn,exit,19878180801,40000000000,21755107229
17,1,1,after-pEqn,point,17753101905,40000000000,21755107229
18,-1,1,kOmegaSST.correct,enter,17753101905,40000000000,21755107229
19,-1,1,kOmegaSST.afterGradients,point,19451805769,40000000000,22100516961
20,-1,1,kOmegaSST.omegaEqn.before,point,19457124393,40000000000,22100516961
21,-1,1,PDE.solveImpl.beforeAssemble,point,20602528645,40000000000,22761345253
22,-1,1,PDE.solveImpl.afterAssemble,point,20602528645,40000000000,22761345253
23,-1,1,PDE.solveImpl.beforeSolve,point,20602528645,40000000000,22761345253
24,-1,1,PDE.solveImpl.afterSolve,point,20602528645,40000000000,22761345253
25,-1,1,kOmegaSST.omegaEqn.after,point,20602528645,40000000000,22761345253
26,-1,0,kOmegaSST.boundRepair,enter,21127866069,40000000000,22761345253
27,-1,0,kOmegaSST.boundRepair,exit,21127866069,40000000000,22761345253
28,-1,1,kOmegaSST.kEqn.before,point,19685182637,40000000000,22761345253
29,-1,1,PDE.solveImpl.beforeAssemble,point,20830586889,40000000000,22989403497
30,-1,1,PDE.solveImpl.afterAssemble,point,20830586889,40000000000,22989403497
31,-1,1,PDE.solveImpl.beforeSolve,point,20830586889,40000000000,22989403497
32,-1,1,PDE.solveImpl.afterSolve,point,20830586889,40000000000,22989403497
33,-1,1,kOmegaSST.kEqn.after,point,20830586889,40000000000,22989403497
34,-1,1,kOmegaSST.correct,exit,20043910409,40000000000,22989403497
35,1,1,after-turb,point,20043910409,40000000000,22989403497
36,1,1,timeStep,exit,20043910409,40000000000,22989403497
37,2,2,timeStep,enter,20043910409,40000000000,22989403497
38,2,2,step-start,point,20043910409,40000000000,22989403497
39,2,2,momentumSolve,enter,20043910409,40000000000,22989403497
40,-1,2,PDE.solveRhs.afterAssemble,point,20043910409,40000000000,25585987881
41,-1,2,PDE.solveRhs.afterSavedRhs,point,20435918993,40000000000,25585987881
42,-1,2,PDE.solveRhs.beforeSolve,point,20435918993,40000000000,25585987881
43,-1,2,PDE.solveRhs.afterSolve,point,20435918993,40000000000,25585987881
44,2,2,momentumSolve,exit,20043910409,40000000000,25585987881
45,2,2,after-UEqn,point,20043910409,40000000000,25585987881
46,2,2,pEqn,enter,22168989305,40000000000,25585987881
47,-1,2,PDE.solveImpl.beforeAssemble,point,22168989305,40000000000,25585987881
48,-1,2,PDE.solveImpl.afterAssemble,point,22168989305,40000000000,25585987881
49,-1,2,PDE.solveImpl.beforeSolve,point,22168989305,40000000000,25585987881
50,-1,2,PDE.solveImpl.afterSolve,point,22168989305,40000000000,25585987881
51,2,2,pEqn,exit,22168989305,40000000000,25585987881
52,2,2,after-pEqn,point,20043910409,40000000000,25585987881
